Unnamed: 0,고객이름,지역,등록일
0,김현성,H시,2018-01-04
1,김도윤,E시,2017-02-18
2,김지한,A시,2018-01-07
3,김하윤,F시,2017-05-19
4,김시온,E시,2018-01-29
5,김예성,A시,2017-06-20
6,김하람,H시,2018-06-11
7,김호준,B시,2017-05-19
8,김지완,G시,2018-02-12
9,김주호,G시,2017-07-05
10,김재원,E시,2018-03-31
11,김승민,A시,2017-04-22
12,김준형,C시,2018-03-09
13,김동건,D시,2017-03-13
14,김준서,E시,2018-01-24
15,김수혁,G시,2017-06-09
16,김진우,D시,2018-05-02
17,김윤호,G시,2017-02-05
18,김윤서,H시,2018-07-10
19,김준희,H시,2017-07-08
20,김윤우,A시,2018-03-12
21,김동우,A시,2017-07-06
22,김성빈,H시,2018-02-28
23,김태준,E시,2017-05-16
24,김태경,D시,2018-01-29
25,김승후,C시,2017-03-17
26,김현우,C시,2018-06-28
27,김서준,C시,2017-06-17
28,김주원,C시,2018-05-21
29,김태인,F시,2017-03-12
30,김승준,E시,2018-07-01
31,김윤재,H시,2017-01-30
32,김수민,A시,2018-02-06
33,김승훈,C시,2017-01-30
34,김하준,H시,2018-04-21
35,김하율,F시,2017-04-01
36,김우찬,C시,2018-04-07
37,김준성,D시,2017-07-28
38,김준혁,A시,2018-05-09
39,김승찬,B시,2017-02-19
40,김현승,A시,2018-01-08
41,김지운,E시,2017-07-10
42,김성민,A시,2018-02-06
43,김지호,D시,2017-06-16
44,김우준,D시,2018-05-22
45,김승빈,G시,2017-07-07
46,김재민,D시,2018-02-02
47,김태민,H시,2017-01-08
48,김주혁,C시,2018-02-22
49,김정원,H시,2017-07-15
50,김하랑,E시,2018-01-11
51,김지우,G시,2017-04-11
52,김예준,C시,2018-07-22
53,김주영,E시,2017-04-10
54,김민석,A시,2018-05-13
55,김유빈,C시,2017-01-07
56,김시훈,E시,2018-07-23
57,김동현,C시,2017-05-30
58,김라온,F시,2018-07-29
59,김은우,E시,2017-01-04
60,김민재,B시,2018-05-15
61,김준후,B시,2017-04-18
62,김현서,C시,2018-07-28
63,김서후,A시,2017-05-23
64,김재현,D시,2018-07-22
65,김유준,D시,2017-04-04
66,김찬우,F시,2018-07-16
67,김도현,A시,2017-03-04
68,김상민,H시,2018-02-24
69,김재영,G시,2017-06-19
70,김하진,C시,2018-05-18
71,김범준,F시,2017-01-06
72,김우진,H시,2018-05-14
73,김지훈,A시,2017-06-02
74,김시윤,F시,2018-03-24
75,김강민,G시,2017-06-08
76,김지성,A시,2018-03-31
77,김윤찬,C시,2017-04-06
78,김민호,F시,2018-07-09
79,김윤성,F시,2017-03-03
80,김지후,D시,2018-01-12
81,김현진,H시,2017-07-13
82,김태양,A시,2018-03-11
83,김대현,H시,2017-01-30
84,김재준,A시,2018-02-21
